repo_name,july_2025_openrank,trends_2025
microsoft/graphrag,19.0,"[53, 45, 39, 33, 28, 20, 19]"
letta-ai/letta,17.0,"[35, 25, 24, 25, 22, 17, 17]"
FoundationAgents/MetaGPT,4.0,"[17, 17, 20, 13, 11, 8, 4]"
Significant-Gravitas/AutoGPT,41.0,"[49, 52, 47, 44, 43, 41, 41]"
eosphoros-ai/DB-GPT,23.0,"[38, 33, 42, 43, 33, 23, 23]"
deepset-ai/haystack,24.0,"[30, 32, 34, 36, 33, 24, 24]"
chatchat-space/Langchain-Chatchat,6.0,"[19, 15, 16, 14, 10, 8, 6]"
openxla/xla,51.0,"[68, 68, 71, 61, 59, 59, 51]"
searxng/searxng,28.0,"[30, 32, 37, 33, 37, 32, 28]"
ItzCrazyKns/Perplexica,10.0,"[23, 21, 22, 22, 12, 12, 10]"
zaidmukaddam/scira,,"[8, 11, 11, 9, 11, 9, 9]"
google/A2A,,[49]
ComposioHQ/composio,28.0,"[26, 27, 31, 26, 18, 22, 28]"
songquanpeng/one-api,5.0,"[23, 35, 28, 20, 12, 7, 5]"
SillyTavern/SillyTavern,38.0,"[49, 50, 47, 51, 45, 38, 38]"
ChatGPTNextWeb/NextChat,8.0,"[40, 61, 37, 25, 17, 12, 8]"
chatboxai/chatbox,24.0,"[29, 50, 41, 35, 24, 23, 24]"
oobabooga/text-generation-webui,22.0,"[32, 28, 23, 25, 31, 27, 22]"
AUTOMATIC1111/stable-diffusion-webui,9.0,"[20, 18, 17, 15, 12, 7, 9]"
stackblitz/bolt.new,,"[233, 219, 214, 194, 178, 82, 22]"
Aider-AI/aider,50.0,"[128, 128, 116, 110, 99, 73, 50]"
sourcegraph/cody,57.0,"[116, 124, 120, 104, 87, 68, 57]"
TabbyML/tabby,13.0,"[39, 42, 40, 39, 37, 21, 13]"
qodo-ai/pr-agent,22.0,"[23, 28, 28, 28, 28, 26, 22]"
PrefectHQ/prefect,44.0,"[101, 98, 92, 76, 65, 45, 44]"
Zipstack/unstract,37.0,"[32, 27, 33, 39, 38, 36, 37]"
iterative/datachain,19.0,"[31, 27, 28, 24, 19, 19, 19]"
dbt-labs/dbt-core,25.0,"[39, 39, 36, 39, 35, 31, 25]"
Unstructured-IO/unstructured,17.0,"[24, 24, 18, 16, 12, 11, 17]"
dask/dask,8.0,"[20, 23, 19, 19, 15, 9, 8]"
open-compass/opencompass,24.0,"[33, 29, 32, 37, 38, 32, 24]"
lm-sys/FastChat,1.0,"[16, 16, 8, 5, 3, 3, 1]"
mannaandpoem/OpenManus,,[164]
camel-ai/owl,,"[64, 35, 21, 11, 8]"
mindverse/Second-Me,,"[17, 31, 29, 15, 9]"
NVIDIA/nccl,17.0,"[24, 20, 18, 18, 17, 15, 17]"
triton-inference-server/server,16.0,"[47, 41, 38, 35, 25, 20, 16]"
nomic-ai/gpt4all,2.0,"[43, 43, 25, 11, 6, 4, 2]"
kserve/kserve,24.0,"[30, 28, 27, 30, 28, 29, 24]"
kvcache-ai/Mooncake,36.0,"[15, 18, 20, 26, 35, 35, 36]"
vllm-project/aibrix,,"[10, 22, 28, 37, 37, 38]"
mlc-ai/mlc-llm,7.0,"[20, 17, 19, 15, 10, 7, 7]"
bentoml/BentoML,9.0,"[15, 15, 15, 13, 14, 9, 9]"
microsoft/onnxruntime,190.0,"[204, 197, 197, 205, 185, 170, 190]"
kvcache-ai/ktransformers,34.0,"[4, 138, 108, 102, 76, 50, 34]"
InternLM/lmdeploy,47.0,"[70, 64, 68, 65, 56, 48, 47]"
huggingface/text-generation-inference,10.0,"[46, 53, 37, 29, 26, 19, 10]"
deepflowio/deepflow,41.0,"[54, 51, 49, 46, 46, 41, 41]"
flyteorg/flyte,29.0,"[42, 40, 44, 37, 39, 33, 29]"
Netflix/metaflow,23.0,"[24, 28, 27, 24, 27, 23, 23]"
zenml-io/zenml,27.0,"[25, 23, 25, 27, 27, 27, 27]"
Farama-Foundation/Gymnasium,5.0,"[9, 12, 12, 8, 9, 8, 5]"
tensorflow/tensorflow,39.0,"[95, 87, 71, 59, 61, 38, 39]"
keras-team/keras,40.0,"[62, 59, 64, 60, 56, 48, 40]"
hpcaitech/ColossalAI,8.0,"[19, 21, 14, 15, 14, 12, 8]"
microsoft/OmniParser,,"[8, 27, 23, 12, 9, 4, 4]"
unitycatalog/unitycatalog,4.0,"[33, 29, 23, 17, 14, 10, 4]"
elastic/elasticsearch,335.0,"[364, 348, 341, 344, 348, 340, 335]"
opensearch-project/OpenSearch,118.0,"[115, 115, 109, 123, 125, 122, 118]"
lancedb/lancedb,18.0,"[30, 32, 31, 30, 22, 21, 18]"
pgvector/pgvector,5.0,"[13, 12, 10, 9, 8, 5, 5]"
