repo_id,repo_name
75821432,llvm/llvm-project
626805178,langgenius/dify
75224144,openshift/release
81598961,python/cpython
699532645,astral-sh/uv
535360445,ultralytics/ultralytics
701547123,open-webui/open-webui
71932349,ray-project/ray
68312233,microsoft/vcpkg
730534580,infiniflow/ragflow
131619646,dagster-io/dagster
552661142,langchain-ai/langchain
208728772,milvus-io/milvus
589831718,comfyanonymous/ComfyUI
673412924,modelscope/ms-swift
440752086,coder/coder
250510075,huggingface/trl
818331198,pydantic/pydantic-ai
705678696,openvinotoolkit/openvino.genai
858127,pandas-dev/pandas
650377372,wandb/weave
336274588,PaddlePaddle/PaddleNLP
567038244,isaac-sim/IsaacLab
587050620,stanfordnlp/dspy
649170660,Mintplex-Labs/anything-llm
55072677,weaviate/weaviate
246509073,PaddlePaddle/PaddleX
908531752,deepseek-ai/DeepSeek-V3
90506918,rapidsai/cudf
921777121,huggingface/open-r1
714073518,pytorch/ao
908607,numpy/numpy
849239437,QwenLM/Qwen2.5-VL
823430322,FunAudioLLM/CosyVoice
817326197,mediar-ai/screenpipe
203634431,flyteorg/flytekit
539057023,NVIDIA/TransformerEngine
100982449,argoproj/argo-workflows
240541316,huggingface/blog
718314761,microsoft/onnxruntime-genai
672415139,OpenRLHF/OpenRLHF
796729677,lmstudio-ai/lmstudio-bug-tracker
308444913,ray-project/kuberay
662392605,PaddlePaddle/PaddleMIX
730932260,pytorch/torchtitan
70746484,apache/tvm
267715375,keras-team/keras-hub
849007972,kubernetes-sigs/gateway-api-inference-extension
133100880,kubeflow/pipelines
721995615,OpenGVLab/InternVL
263687600,openvinotoolkit/nncf
570384908,huggingface/peft
580642043,oobabooga/text-generation-webui
353143803,pytorch/test-infra
539716607,triton-inference-server/perf_analyzer
447289206,NVIDIA/spark-rapids-jni
201991558,microsoft/Olive
772255271,NVIDIA/NeMo-Curator
604178419,grafana/beyla
346639494,openvinotoolkit/openvino_notebooks
306366900,casdoor/casdoor
910176789,NVIDIA/Cosmos
906006194,triton-inference-server/triton_distributed
920305218,vllm-project/production-stack
233016299,google/flax
152616802,rapidsai/cuml
556976431,wandb/docs
728528910,modelscope/evalscope
64991887,microsoft/LightGBM
307213173,openai/openai-python
136450404,PaddlePaddle/docs
95700338,kubeflow/trainer
